# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.017453292519943,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
# Label	X/East	Y/North	Z/Altitude	Yaw	Pitch	Roll	Error (m)	X error	Y error	Z error	Error (deg)	Yaw error	Pitch error	Roll error	X est	Y est	Z est	Yaw est	Pitch est	Roll est
dji_0145.jpg	-73.626083	3.864148	38.600000				0.855976	0.811733	-0.182618	-0.201086					-73.626076	3.864146	38.398914	79.627507	59.466079	0.055163
dji_0146.jpg	-73.626081	3.864146	38.500000				1.018136	0.952149	-0.073252	-0.353053					-73.626072	3.864145	38.146947	110.335168	59.684961	2.020029
dji_0147.jpg	-73.626066	3.864125	38.500000				0.964561	0.922877	0.031476	-0.278721					-73.626058	3.864125	38.221279	72.139269	60.007029	0.275960
dji_0148.jpg	-73.626051	3.864129	38.500000				0.648454	0.521012	-0.039631	-0.384016					-73.626047	3.864128	38.115984	81.120054	60.174971	1.554512
dji_0149.jpg	-73.626049	3.864161	38.600000				0.687190	0.328099	-0.202124	-0.568970					-73.626046	3.864159	38.031030	95.847862	60.093313	2.681062
dji_0150.jpg	-73.626038	3.864194	38.700000				1.137374	0.683742	0.772409	-0.479062					-73.626032	3.864201	38.220938	113.751101	59.778515	3.279374
dji_0151.jpg	-73.626018	3.864240	38.700000				0.875251	0.643940	0.368800	-0.464102					-73.626013	3.864244	38.235897	137.500870	59.295164	3.361128
dji_0152.jpg	-73.625977	3.864293	38.500000				0.961010	-0.034088	-0.836287	-0.472232					-73.625978	3.864286	38.027768	169.545618	58.767511	3.132603
dji_0153.jpg	-73.625906	3.864320	38.700000				1.896911	1.642621	-0.869768	-0.378904					-73.625891	3.864312	38.321095	199.331302	58.623286	2.388885
dji_0154.jpg	-73.625862	3.864314	38.600000				1.187810	-0.045350	-1.161604	-0.243952					-73.625863	3.864303	38.356048	215.619866	58.633515	1.780410
dji_0155.jpg	-73.625820	3.864272	38.700000				1.243469	-1.074923	-0.434362	-0.449538					-73.625830	3.864268	38.250462	229.742293	58.653612	0.892760
dji_0156.jpg	-73.625779	3.864206	38.600000				1.179592	-0.998855	-0.340374	-0.527136					-73.625788	3.864203	38.072864	261.908254	58.710832	0.362327
dji_0157.jpg	-73.625781	3.864085	38.500000				1.341176	-0.774160	0.880334	-0.651492					-73.625788	3.864093	37.848508	294.106423	59.042779	-0.400735
dji_0158.jpg	-73.625809	3.864033	38.600000				1.158880	-0.523869	0.930658	-0.449934					-73.625814	3.864041	38.150066	309.382254	59.274602	-1.035295
dji_0159.jpg	-73.625850	3.864035	38.700000				1.375513	-0.735642	0.858973	-0.782962					-73.625857	3.864043	37.917037	323.932008	58.375050	-1.334503
dji_0160.jpg	-73.625870	3.864042	37.200000				0.888401	-0.143780	0.661870	-0.574900					-73.625871	3.864048	36.625100	325.028445	53.382615	-1.746712
dji_0161.jpg	-73.625893	3.864055	34.700000				0.730622	-0.085043	0.627341	-0.364719					-73.625893	3.864061	34.335281	341.213178	53.716672	-1.427082
dji_0162.jpg	-73.625899	3.864044	34.200000				1.107204	-0.404034	0.609331	-0.831488					-73.625902	3.864050	33.368512	339.712852	53.521576	-1.879438
dji_0163.jpg	-73.625893	3.864048	34.100000				1.137125	-0.217307	0.805706	-0.772444					-73.625894	3.864055	33.327556	328.128010	53.260639	-2.255583
dji_0164.jpg	-73.625897	3.864039	34.300000				1.025063	-0.220752	0.839319	-0.545496					-73.625899	3.864046	33.754504	336.175932	53.424434	-2.296665
dji_0165.jpg	-73.625906	3.864058	33.100000				1.253890	-0.030685	0.708884	-1.033819					-73.625906	3.864064	32.066181	337.025765	53.476403	-2.277303
dji_0166.jpg	-73.625905	3.864058	30.100000				1.206855	-0.090172	0.743617	-0.946256					-73.625906	3.864065	29.153744	337.132390	53.464481	-2.198528
